12,12,,,,,,,,,,
R|0|0000,N|0|0000,N|0|1000,A|0|0000|MOVE|NORTH,N|0|1000,A|0|0000|MOVE|SOUTH,A|0|0000|MOVE|NORTH,N|0|1000,A|0|0000|SOUTH,N|0|1000,A|0|0000|NORTH,N|0|0000
A|0|0000|MOVE|WEST,N|0|0000,B|0|0000,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|MOVE|SOUTH,A|0|0000|MOVE|NORTH,N|1|0000,A|0|0000|SOUTH,N|0|0000,A|0|0000|TURN|WEST|RIGHT,A|0|0000|WEST
N|0|0001,N|0|0000,N|0|0000,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|MOVE|SOUTH,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|SOUTH,N|0|0001,N|0|0000,N|0|0100
A|0|0000|MOVE|EAST,A|0|0000|MOVE|EAST,A|0|0000|MOVE|EAST,A|0|0000|TURN|EAST|LEFT,N|0|0000,A|0|0000|MOVE|SOUTH,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|SOUTH,A|0|0000|EAST|EXPRESS,A|0|0000|EAST|EXPRESS,A|0|0000|EAST|EXPRESS
N|0|0001,N|3|0000,N|0|0000,N|0|0000,N|0|0110,A|0|0000|MOVE|SOUTH,A|0|0000|MOVE|NORTH,N|0|0011,N|0|0000,N|0|0000,N|0|0000,N|0|0100
A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,N|0|0000,N|0|0000,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST
N|0|0000,A|0|0000|MOVE|EAST,A|0|0000|MOVE|EAST,A|0|0000|MOVE|EAST,A|0|0000|MOVE|EAST,N|0|0000,N|0|0000,A|0|0000|MOVE|WEST|EXPRESS,A|0|0000|MOVE|WEST|EXPRESS,A|0|0000|MOVE|WEST|EXPRESS,A|0|0000|MOVE|WEST|EXPRESS,A|0|0000|MOVE|WEST|EXPRESS
N|0|0001,N|0|0000,N|0|0000,N|0|0000,N|0|1100,A|0|0000|MOVE|SOUTH|EXPRESS,A|0|0000|MOVE|NORTH,R|0|1001,N|0|0000,N|2|0000,N|0|0000,N|0|0100
A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|TURN|NORTH|LEFT,N|0|0000,A|0|0000|MOVE|SOUTH|EXPRESS,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|TURN|WEST|LEFT,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST,A|0|0000|MOVE|WEST
N|0|0001,N|0|0000,N|0|0000,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|MOVE|SOUTH|EXPRESS,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|MOVE|SOUTH,N|0|0000,N|0|1000,N|0|0100
B|0|0000,N|0|0010,N|0|0000,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|MOVE|SOUTH|EXPRESS,A|0|0000|MOVE|NORTH,N|0|0000,A|0|0000|MOVE|SOUTH,N|0|0000,A|0|0000|TURN|NORTH|RIGHT,A|0|0000|MOVE|EAST
N|0|0000,N|0|1000,N|0|0010,A|0|0000|MOVE|NORTH,N|0|0010,A|0|0000|MOVE|SOUTH|EXPRESS,N|0|0000,N|0|0010,A|0|0000|MOVE|SOUTH,N|0|0010,A|0|0000|MOVE|NORTH,R|0|0000
